epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9795,1.39186,2.76884,1.465,0.52764,0.58311,0.57648,0.44974,2.0326,2.32845,1.97405,0.000472262,0.000472262,0.000472262
2,90.5185,1.347,1.61575,1.48448,0.88149,0.5,0.51678,0.40512,1.94916,3.35575,2.09162,0.000929813,0.000929813,0.000929813
3,134.436,1.32767,1.42065,1.45747,0.54888,0.65121,0.57625,0.46446,1.67913,5.17405,1.92349,0.0013685,0.0013685,0.0013685
4,178.469,1.2674,1.31216,1.41156,0.57523,0.64054,0.65034,0.48993,1.76691,1.9368,1.98839,0.00134412,0.00134412,0.00134412
5,222.324,1.28396,1.31023,1.43816,0.71892,0.64327,0.69986,0.50297,1.67296,1.75763,1.82398,0.00131582,0.00131582,0.00131582
6,268.984,1.22224,1.2031,1.37157,0.59617,0.69687,0.6988,0.5254,1.61974,1.83106,1.81012,0.00128753,0.00128753,0.00128753
7,319.275,1.22631,1.26663,1.39434,0.58689,0.63514,0.60515,0.47731,1.8031,1.96463,1.98881,0.00125923,0.00125923,0.00125923
8,367.803,1.17982,1.13929,1.36324,0.69362,0.69459,0.70809,0.53999,1.58656,1.55128,1.81523,0.00123094,0.00123094,0.00123094
9,415.509,1.18783,1.1397,1.37603,0.69309,0.64865,0.66348,0.51493,1.66736,1.67873,1.83912,0.00120265,0.00120265,0.00120265
10,462.049,1.15852,1.10129,1.34498,0.69986,0.70541,0.71787,0.54256,1.51168,1.55361,1.69274,0.00117435,0.00117435,0.00117435
11,509.206,1.14059,1.06531,1.34788,0.61351,0.66384,0.59868,0.48176,1.85565,2.03911,2.01253,0.00114606,0.00114606,0.00114606
12,556.371,1.10704,1.02313,1.30898,0.68015,0.74906,0.77967,0.57116,1.54188,1.40196,1.67711,0.00111776,0.00111776,0.00111776
13,602.69,1.14311,1.05348,1.33737,0.68159,0.72973,0.75565,0.56264,1.50127,1.46039,1.69074,0.00108947,0.00108947,0.00108947
14,647.631,1.09906,0.98658,1.30254,0.72216,0.73825,0.75101,0.54549,1.55727,1.61016,1.67154,0.00106118,0.00106118,0.00106118
15,692.306,1.0887,0.9721,1.28745,0.70645,0.78919,0.77517,0.56763,1.48437,1.3783,1.62153,0.00103288,0.00103288,0.00103288
16,737.773,1.06562,0.95459,1.26028,0.75394,0.72973,0.73281,0.55018,1.58427,1.46592,1.70485,0.00100459,0.00100459,0.00100459
17,781.806,1.06308,0.92916,1.267,0.76918,0.8,0.81119,0.59744,1.5018,1.24071,1.61215,0.000976293,0.000976293,0.000976293
18,826.278,1.05887,0.91979,1.27108,0.77175,0.77957,0.80253,0.5878,1.42551,1.29733,1.5989,0.000947999,0.000947999,0.000947999
19,870.329,1.06197,0.90366,1.27338,0.73513,0.7567,0.80189,0.58129,1.4706,1.282,1.60069,0.000919704,0.000919704,0.000919704
20,914.62,1.06078,0.88849,1.26067,0.77298,0.8202,0.81271,0.60015,1.44965,1.21604,1.62485,0.00089141,0.00089141,0.00089141
21,958.657,1.04023,0.882,1.26273,0.81761,0.7973,0.80927,0.59278,1.47617,1.23742,1.64319,0.000863116,0.000863116,0.000863116
22,1003.71,1.01379,0.8704,1.23342,0.8017,0.8,0.8231,0.60549,1.41913,1.23947,1.61454,0.000834822,0.000834822,0.000834822
23,1049.28,1.00318,0.83902,1.24202,0.77789,0.80242,0.81369,0.601,1.45512,1.2467,1.62103,0.000806528,0.000806528,0.000806528
24,1093.13,0.99709,0.85239,1.25059,0.76998,0.78378,0.8147,0.58764,1.51,1.27916,1.64348,0.000778233,0.000778233,0.000778233
25,1137.17,0.98506,0.80686,1.22403,0.77885,0.82162,0.81815,0.59841,1.40705,1.23887,1.60241,0.000749939,0.000749939,0.000749939
26,1181.2,0.98259,0.81387,1.23059,0.7846,0.7973,0.84613,0.62653,1.42065,1.19885,1.54148,0.000721645,0.000721645,0.000721645
27,1225.14,0.95958,0.75943,1.21208,0.78308,0.85135,0.81914,0.5928,1.3957,1.16397,1.58601,0.000693351,0.000693351,0.000693351
28,1269.15,0.97262,0.77006,1.20999,0.81145,0.81081,0.83232,0.60871,1.45586,1.13822,1.5793,0.000665057,0.000665057,0.000665057
29,1314.32,0.96572,0.76262,1.21552,0.79081,0.81055,0.8404,0.61088,1.39554,1.15253,1.57324,0.000636762,0.000636762,0.000636762
30,1361.17,0.95021,0.72958,1.2157,0.84222,0.79189,0.84698,0.61407,1.39881,1.13176,1.59181,0.000608468,0.000608468,0.000608468
31,1407.89,0.93396,0.74398,1.19756,0.79526,0.82162,0.82582,0.61096,1.39874,1.08666,1.55084,0.000580174,0.000580174,0.000580174
32,1453.95,0.92954,0.72997,1.18206,0.83554,0.85676,0.86703,0.62513,1.38898,1.13835,1.51085,0.00055188,0.00055188,0.00055188
33,1499.17,0.93329,0.70697,1.19533,0.80312,0.8066,0.848,0.62024,1.40053,1.10212,1.54076,0.000523586,0.000523586,0.000523586
34,1544.46,0.91817,0.67815,1.17897,0.79651,0.82973,0.84346,0.6198,1.40808,1.04865,1.58807,0.000495291,0.000495291,0.000495291
35,1589.93,0.9087,0.64633,1.1714,0.78603,0.82356,0.84398,0.6142,1.45854,1.11099,1.60778,0.000466997,0.000466997,0.000466997
36,1635.81,0.9173,0.68087,1.18035,0.8225,0.82432,0.84305,0.6282,1.38024,1.14105,1.53977,0.000438703,0.000438703,0.000438703
37,1682.59,0.87211,0.62093,1.15741,0.80917,0.84054,0.8571,0.63126,1.39569,1.03854,1.58565,0.000410409,0.000410409,0.000410409
38,1728.36,0.8794,0.61853,1.1769,0.8381,0.84865,0.85408,0.6299,1.40459,1.04225,1.62005,0.000382115,0.000382115,0.000382115
39,1772.67,0.86842,0.61164,1.17971,0.83241,0.86039,0.87807,0.64538,1.39046,1.02958,1.59436,0.00035382,0.00035382,0.00035382
40,1816.82,0.87071,0.5929,1.15975,0.82494,0.85946,0.8805,0.65349,1.35809,0.99388,1.5689,0.000325526,0.000325526,0.000325526
41,1861.04,0.86486,0.61357,1.16067,0.86415,0.84054,0.89349,0.64439,1.40798,0.99349,1.58255,0.000297232,0.000297232,0.000297232
42,1905.17,0.8357,0.58634,1.13769,0.80707,0.88108,0.86461,0.63518,1.4092,1.01453,1.5893,0.000268938,0.000268938,0.000268938
