epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6086,1.15619,2.73608,1.18481,0.60274,0.56667,0.46499,0.33795,1.36258,2.1863,1.34598,0.000469718,0.000469718,0.000469718
2,55.0426,0.91299,1.29446,1.03625,0.37308,0.60449,0.41445,0.2772,1.44881,2.69705,1.51898,0.000927319,0.000927319,0.000927319
3,81.0436,0.92992,1.05855,1.08582,0.45574,0.56154,0.51765,0.39348,1.43809,1.89877,1.54312,0.00136606,0.00136606,0.00136606
4,107.106,0.91784,0.95354,1.11553,0.24249,0.66991,0.32261,0.19253,1.41971,2.8037,1.55183,0.00134412,0.00134412,0.00134412
5,133.989,0.8434,0.84649,1.07789,0.57603,0.7,0.65034,0.47032,1.23846,2.16204,1.42941,0.00131582,0.00131582,0.00131582
6,160.113,0.84082,0.85228,1.08333,0.69006,0.73608,0.7121,0.51957,1.3109,1.23112,1.4398,0.00128753,0.00128753,0.00128753
7,186.185,0.81656,0.79689,1.08299,0.58363,0.72222,0.73309,0.51742,1.32961,1.31909,1.44745,0.00125923,0.00125923,0.00125923
8,212.573,0.80396,0.77142,1.05762,0.6482,0.66667,0.72978,0.53853,1.24367,1.35813,1.41883,0.00123094,0.00123094,0.00123094
9,238.897,0.79123,0.74894,1.06777,0.79925,0.77764,0.80914,0.56494,1.14495,0.99104,1.35942,0.00120265,0.00120265,0.00120265
10,264.951,0.78563,0.70237,1.05602,0.65564,0.76667,0.71208,0.52557,1.25196,1.14209,1.43963,0.00117435,0.00117435,0.00117435
11,290.948,0.76502,0.66868,1.05275,0.78496,0.76667,0.77846,0.55491,1.23068,1.02994,1.40142,0.00114606,0.00114606,0.00114606
12,316.916,0.79338,0.69237,1.08506,0.6999,0.72666,0.75948,0.57616,1.16672,1.13991,1.38467,0.00111776,0.00111776,0.00111776
13,342.824,0.75974,0.66463,1.05863,0.70408,0.76667,0.78088,0.57385,1.13752,1.04033,1.33935,0.00108947,0.00108947,0.00108947
14,368.779,0.73161,0.66224,1.03252,0.71273,0.71111,0.74362,0.5718,1.15673,1.1044,1.4231,0.00106118,0.00106118,0.00106118
15,394.846,0.72297,0.60051,1.01714,0.81802,0.77774,0.81693,0.59099,1.25349,0.99506,1.36794,0.00103288,0.00103288,0.00103288
16,421.02,0.72069,0.6177,1.00812,0.7999,0.81111,0.87254,0.60602,1.10169,0.92295,1.29343,0.00100459,0.00100459,0.00100459
17,447.223,0.70156,0.59595,1.00384,0.78796,0.83333,0.85983,0.60873,1.14308,0.90717,1.33728,0.000976293,0.000976293,0.000976293
18,473.251,0.70674,0.5607,1.02408,0.91309,0.8,0.87805,0.62858,1.12941,0.8761,1.31478,0.000947999,0.000947999,0.000947999
19,499.317,0.69458,0.56655,1.01932,0.73842,0.83526,0.8428,0.62174,1.05254,0.86646,1.28722,0.000919704,0.000919704,0.000919704
20,526.6,0.68947,0.56367,1.01135,0.90403,0.74444,0.85166,0.60749,1.20779,0.86281,1.38794,0.00089141,0.00089141,0.00089141
21,553.421,0.70407,0.53734,1.00522,0.88829,0.82222,0.87587,0.63706,1.11332,0.82571,1.28252,0.000863116,0.000863116,0.000863116
22,581.631,0.65195,0.49821,0.9808,0.82112,0.86667,0.89066,0.64111,1.09297,0.78432,1.3003,0.000834822,0.000834822,0.000834822
23,609.424,0.66905,0.53852,1.00096,0.77275,0.87778,0.86482,0.62814,1.10347,0.81699,1.33213,0.000806528,0.000806528,0.000806528
24,640.648,0.66916,0.50238,1.00187,0.89915,0.84252,0.91367,0.66659,1.05693,0.71318,1.29834,0.000778233,0.000778233,0.000778233
25,667.641,0.65217,0.48415,0.99841,0.86287,0.9,0.90749,0.6601,1.07073,0.67278,1.29713,0.000749939,0.000749939,0.000749939
26,694.127,0.66708,0.49199,1.01006,0.82105,0.85556,0.85417,0.63603,1.11987,0.77591,1.31072,0.000721645,0.000721645,0.000721645
27,721.014,0.65636,0.48481,0.98982,0.85406,0.84444,0.89351,0.65089,1.07616,0.71698,1.28691,0.000693351,0.000693351,0.000693351
28,748.045,0.64571,0.4839,0.98888,0.84285,0.88268,0.89033,0.64317,1.11528,0.75536,1.34779,0.000665057,0.000665057,0.000665057
29,774.987,0.62984,0.45152,0.97218,0.83532,0.85962,0.88364,0.62704,1.11603,0.75582,1.32532,0.000636762,0.000636762,0.000636762
30,801.891,0.60843,0.44948,0.96403,0.84642,0.87778,0.89842,0.66515,1.00042,0.68354,1.22558,0.000608468,0.000608468,0.000608468
31,829.318,0.61128,0.44785,0.99036,0.84408,0.92031,0.91605,0.67158,1.04279,0.71906,1.27056,0.000580174,0.000580174,0.000580174
32,857.987,0.60353,0.41796,0.96318,0.87368,0.84425,0.91478,0.66685,1.04596,0.6953,1.24735,0.00055188,0.00055188,0.00055188
33,886.18,0.62433,0.43832,0.97605,0.88023,0.86094,0.91808,0.66958,1.04188,0.69661,1.25398,0.000523586,0.000523586,0.000523586
34,913.513,0.59162,0.41358,0.96809,0.88531,0.86667,0.92172,0.68673,1.02185,0.7225,1.2388,0.000495291,0.000495291,0.000495291
35,941.768,0.59304,0.41813,0.96048,0.91859,0.91188,0.94463,0.68282,1.0104,0.6507,1.22926,0.000466997,0.000466997,0.000466997
36,969.045,0.58367,0.41115,0.95174,0.93328,0.91122,0.94346,0.68072,1.00959,0.62173,1.23822,0.000438703,0.000438703,0.000438703
37,995.908,0.57784,0.3925,0.95213,0.91859,0.9,0.92793,0.68434,0.97258,0.61177,1.23122,0.000410409,0.000410409,0.000410409
38,1022.88,0.56065,0.36916,0.93742,0.91239,0.84736,0.91015,0.66285,1.02283,0.65074,1.26954,0.000382115,0.000382115,0.000382115
39,1050.16,0.57334,0.37568,0.95685,0.87174,0.91111,0.92284,0.66968,0.98822,0.62451,1.24547,0.00035382,0.00035382,0.00035382
40,1078.08,0.57437,0.3697,0.94444,0.93632,0.92222,0.93519,0.68465,1.03034,0.628,1.24169,0.000325526,0.000325526,0.000325526
41,1104.88,0.55813,0.36746,0.92477,0.94579,0.90953,0.94054,0.67104,1.0111,0.62336,1.22816,0.000297232,0.000297232,0.000297232
42,1131.67,0.54924,0.35947,0.94152,0.89683,0.9141,0.9444,0.69027,0.99343,0.61179,1.21865,0.000268938,0.000268938,0.000268938
43,1158.82,0.54867,0.34142,0.94676,0.90418,0.93243,0.93303,0.67291,0.99701,0.59583,1.22467,0.000240644,0.000240644,0.000240644
44,1185.07,0.51927,0.33499,0.9189,0.91901,0.9,0.93407,0.6869,0.98919,0.58853,1.211,0.000212349,0.000212349,0.000212349
45,1211.74,0.52345,0.33144,0.92091,0.92585,0.90744,0.94019,0.69092,0.98747,0.58283,1.21473,0.000184055,0.000184055,0.000184055
46,1238.1,0.52103,0.31774,0.9251,0.93438,0.90611,0.94524,0.69193,1.00171,0.5753,1.23427,0.000155761,0.000155761,0.000155761
47,1264.29,0.52272,0.31942,0.92542,0.89979,0.93333,0.94458,0.70225,1.00933,0.59086,1.24473,0.000127467,0.000127467,0.000127467
48,1290.55,0.51011,0.31467,0.91544,0.89249,0.91111,0.94674,0.70268,0.98761,0.56897,1.22272,9.91726e-05,9.91726e-05,9.91726e-05
49,1318.65,0.50745,0.31315,0.92615,0.87861,0.93333,0.93802,0.69783,0.9855,0.57452,1.21554,7.08784e-05,7.08784e-05,7.08784e-05
50,1346.14,0.49482,0.31513,0.91853,0.87644,0.92222,0.93951,0.69625,0.99114,0.57227,1.22585,4.25842e-05,4.25842e-05,4.25842e-05
