epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.65,0.50295,0.32194,0.92015,0.83887,0.91261,0.91977,0.65824,1.14824,0.72313,1.37127,0.000474668,0.000474668,0.000474668
2,213.22,0.52119,0.34938,0.92932,0.91749,0.82427,0.90337,0.6728,1.09916,0.83781,1.31279,0.000762703,0.000762703,0.000762703
3,314.689,0.53734,0.35168,0.93062,0.91087,0.83289,0.90938,0.66527,1.11206,0.74168,1.35439,0.00086211,0.00086211,0.00086211
4,416.635,0.54142,0.34498,0.94616,0.82698,0.91066,0.88473,0.66407,1.06177,0.68641,1.28786,0.000580174,0.000580174,0.000580174
5,518.67,0.49721,0.30567,0.91499,0.81893,0.88956,0.90501,0.66631,1.08737,0.68042,1.30408,0.000297232,0.000297232,0.000297232
